| end of split 145 /500 | epoch   1 | time: 13.07s | valid loss 1.3112 | valid ppl 3.7106 | learning rate 1.2500
| end of split 146 /500 | epoch   1 | time: 12.72s | valid loss 1.3085 | valid ppl 3.7008 | learning rate 1.2500
| end of split 147 /500 | epoch   1 | time: 12.95s | valid loss 1.3087 | valid ppl 3.7014 | learning rate 1.2500
| end of split 148 /500 | epoch   1 | time: 13.16s | valid loss 1.3043 | valid ppl 3.6850 | learning rate 1.2500
| end of split 149 /500 | epoch   1 | time: 12.76s | valid loss 1.3064 | valid ppl 3.6928 | learning rate 1.2500
| end of split 150 /500 | epoch   1 | time: 12.82s | valid loss 1.3148 | valid ppl 3.7241 | learning rate 1.2500
| end of split 151 /500 | epoch   1 | time: 12.97s | valid loss 1.3165 | valid ppl 3.7304 | learning rate 1.2500
| end of split 152 /500 | epoch   1 | time: 13.30s | valid loss 1.2992 | valid ppl 3.6662 | learning rate 1.2500
| end of split 153 /500 | epoch   1 | time: 13.02s | valid loss 1.3026 | valid ppl 3.6788 | learning rate 1.2500
| end of split 154 /500 | epoch   1 | time: 13.32s | valid loss 1.3170 | valid ppl 3.7320 | learning rate 1.2500
| end of split 155 /500 | epoch   1 | time: 13.09s | valid loss 1.3314 | valid ppl 3.7863 | learning rate 1.2500
| end of split 156 /500 | epoch   1 | time: 13.18s | valid loss 1.3204 | valid ppl 3.7449 | learning rate 1.2500
| end of split 157 /500 | epoch   1 | time: 13.06s | valid loss 1.3198 | valid ppl 3.7426 | learning rate 1.2500
| end of split 158 /500 | epoch   1 | time: 12.89s | valid loss 1.3166 | valid ppl 3.7307 | learning rate 1.2500
| end of split 159 /500 | epoch   1 | time: 12.78s | valid loss 1.3100 | valid ppl 3.7060 | learning rate 1.2500
| end of split 160 /500 | epoch   1 | time: 12.79s | valid loss 1.3046 | valid ppl 3.6863 | learning rate 1.2500
| end of split 161 /500 | epoch   1 | time: 12.93s | valid loss 1.3009 | valid ppl 3.6727 | learning rate 1.2500
